"owner_id","owner_name","email","password"
1,"John Doe","john@example.com","password123"
2,"Emma Smith","emma@example.com","password456"
3,"Michael Johnson","michael@example.com","password789"
4,"Sophia Brown","sophia@example.com","password101"
5,"William Martinez","william@example.com","password202"
6,"Olivia Wilson","olivia@example.com","password303"
7,"James Taylor","james@example.com","password404"
8,"Ava Lee","ava@example.com","password505"
9,"Alexander Anderson","alexander@example.com","password606"
10,"Mia Garcia","mia@example.com","password707"
